Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
512,mp-7088,Ta2C,256.0,256.0,131.0,0.27,2.0,96.47928999999999,20.8569166207637,0
513,mp-7099,NdB2Ru3,211.0,211.0,95.0,0.3,2.06,85.37433333333333,16.098612291310737,0.016849948333334197
514,mp-7130,ScRu3C,234.0,234.0,137.0,0.25,1.84,52.67887066666666,19.674968675197697,0
515,mp-7142,OsC,390.0,378.0,51.0,0.41,1.85,101.12035,30.892242540791827,0.9151209350000009
516,mp-7159,La3TlC,63.0,63.0,40.0,0.24,1.95 ang,118.43315666666666,5.428788364051464,0
517,mp-7283,LaB4,173.0,173.0,152.0,0.16,1.95 ang,74.85823500000001,23.342137804977042,0
518,mp-7424,BPd2,179.0,179.0,43.0,0.38,1.69,58.6155,13.295455639236481,0
519,mp-754434,Hf3N4,221.0,208.0,37.0,0.36,2.08,96.24835,20.62169031548717,0.07350541678571076
520,mp-754553,Zn3N2,133.0,131.0,56.0,0.31,1.42,39.70785,10.234839898896087,0.010401740999999465
521,mp-754628,WN2,121.0,121.0,25.0,0.4,1.93,98.92335,9.131883412660015,0.08751082710333158
522,mp-754629,WN2,103.0,103.0,26.0,0.38,1.93,98.92335,7.432956644971862,0.09863283932555333
523,mp-7559,YNi4B,156.0,156.0,75.0,0.29,2.12,52.803416666666664,11.976729344414794,0
524,mp-7573,Co(BW)2,335.0,334.0,204.0,0.24,1.93,84.528065,27.89493877815289,0
525,mp-7574,AlBMo,212.0,210.0,133.0,0.23,1.9,44.577512866666666,19.373744694196496,0
526,mp-7575,LiZnN,116.0,116.0,82.0,0.21,1.67,28.785566666666668,11.991815179500227,0
527,mp-7586,Ni3C,195.0,195.0,62.0,0.35,1.49,35.35205,13.928630477043642,0.05820347749999932
528,mp-7692,Al(CrB)2,228.0,226.0,173.0,0.19,1.66,29.929546200000004,24.090891152308366,0
529,mp-7790,Ti2N,181.0,177.0,102.0,0.26,1.76,30.93685,14.627578886786504,0.014623128333333568
530,mp-7804,HfCo3B2,255.0,254.0,158.0,0.24,2.08,82.74473166666668,22.102729904279002,0.017694861666660344
