Number,MP_id,Chemical Formula,Bv,Br,Gr,poisson_ratio,Rx,Aw,H_predicted,e_above_hull
87        ,mp-3093   ,ErB2Ru3   ,     215.0,     215.0,105.0     ,0.29      ,2.26      ,93.04666666666667,    16.492,         0
88        ,mp-3186   ,TbB2Ru3   ,     209.0,     209.0,104.0     ,0.29      ,2.25      ,90.26878333333333,    15.922,         0
89        ,mp-3190   ,Er(FeB)2  ,     117.0,     117.0,78.0      ,0.22      ,2.26      ,77.97166666666666,    12.014,         0
90        ,mp-3223   ,ThB2Ru3   ,     217.0,     217.0,88.0      ,0.32      ,1.8       ,114.63968666666666,    16.183,         0
91        ,mp-345    ,HfB       ,     175.0,     175.0,69.0      ,0.3       ,2.08      ,94.65050000000001,    14.559,0.3499089324999982
92        ,mp-3467   ,SmB2Ru3   ,     214.0,     214.0,99.0      ,0.3       ,2.38      ,87.41366666666666,     15.94,0.012558878333335244
93        ,mp-3515   ,Y(CoB)2   ,     151.0,     140.0,103.0     ,0.21      ,2.12      ,52.88334833333334,    15.888,         0
94        ,mp-374    ,CrB2      ,     255.0,     250.0,181.0     ,0.21      ,1.66      ,  31.40355,    23.886,0.08890913611111095
95        ,mp-3805   ,Al(FeB)2  ,     206.0,     199.0,127.0     ,0.24      ,1.56      ,31.212512866666668,    18.024,         0
96        ,mp-38818  ,HfNbB4    ,     271.0,     268.0,215.0     ,0.18      ,2.08      ,94.06912666666666,    30.234,         0
